ID,fips,StateFIPS,State,County,drought,ext_precip,dev_land,obesity,phys_activity,bric_community,bric_economy,bric_environment,bric_housing,bric_institutional,bric_social,energy_afford,avg_temp,summer_max_temp,rel_humidity,percent_poverty,svi_socioeconomic,svi_household,svi_minority,svi_transport,est,se,type,hw
1,6001,6,California,Alameda,0.3077,76.5,0.35,0.232,0.185,-0.479,-0.571,-0.365,-0.632,-0.366,-0.603,0.012,15.54546628,28.25579733,49.92734588,0.1104,0.2824,0.1522,0.9808,0.8646,0.011634365,0.016726788,ptb,hw3
2,6003,6,California,Alpine,0.3189,127.7857143,0.00775,0.294,0.218,-0.42,-0.298,-0.507,-0.69,-0.582,-0.596,0.054,6.172861364,22.31698384,38.9425856,0.1948,0.4754,0.0366,0.7563,0.4455,-18.74419226,4733.454674,ptb,hw3
3,6005,6,California,Amador,0.3044,89.60714286,0.03575,0.289,0.197,-0.525,-0.385,-0.506,-0.406,-0.468,-0.678,0.041,14.60468441,30.67223928,42.03173342,0.0922,0.0821,0.5847,0.6461,0.6888,0.066484874,0.116283246,ptb,hw3
4,6007,6,California,Butte,0.3189,95.14285714,0.05775,0.329,0.219,-0.528,-0.478,-0.507,-0.466,-0.441,-0.615,0.032,15.4673244,32.20713998,43.69398914,0.1979,0.6831,0.6894,0.8146,0.9433,-0.027806545,0.04121655,ptb,hw3
5,6009,6,California,Calaveras,0.3124,88.82142857,0.03025,0.264,0.191,-0.466,-0.409,-0.526,-0.263,-0.592,-0.629,0.042,15.15278898,31.78407103,40.4983496,0.1179,0.3289,0.3598,0.5388,0.148,0.126149912,0.077814921,ptb,hw3
6,6011,6,California,Colusa,0.3166,75.10714286,0.036,0.308,0.259,-0.568,-0.433,-0.537,-0.519,-0.381,-0.438,0.03,16.8103496,34.44143926,38.68647171,0.1607,0.9108,0.6898,0.9828,0.8143,0.121593377,0.101066145,ptb,hw3
7,6013,6,California,Contra Costa,0.3147,74.96428571,0.34275,0.228,0.179,-0.498,-0.576,-0.419,-0.556,-0.395,-0.662,0.015,15.75537484,29.45200435,52.02660878,0.0763,0.0843,0.2191,0.9423,0.52,-0.001484109,0.019500062,ptb,hw3
8,6015,6,California,Del Norte,0.3143,144.9642857,0.05,0.317,0.248,-0.296,-0.409,-0.516,-0.414,-0.507,-0.622,0.033,9.244232585,19.88323609,76.00658627,0.2017,0.8968,0.8391,0.8611,0.9977,0.051257809,0.22638221,ptb,hw3
9,6017,6,California,El Dorado,0.3053,101.8928571,0.04225,0.262,0.18,-0.508,-0.5,-0.506,-0.417,-0.506,-0.703,0.027,12.23675309,27.77058603,42.08236732,0.0715,0.1015,0.249,0.7146,0.2156,0.031991202,0.057430081,ptb,hw3
10,6019,6,California,Fresno,0.3016,59.67857143,0.059,0.34,0.284,-0.463,-0.498,-0.46,-0.48,-0.44,-0.57,0.03,14.24781352,31.25905731,32.8370673,0.2289,0.9261,0.8471,0.9875,0.9159,0.012703494,0.015054172,ptb,hw3
11,6021,6,California,Glenn,0.325,80.17857143,0.04075,0.31,0.251,-0.467,-0.446,-0.537,-0.522,-0.474,-0.541,0.036,15.95245458,32.95321953,39.10523552,0.1815,0.9162,0.7878,0.9474,0.8331,0.032385561,0.088048151,ptb,hw3
12,6023,6,California,Humboldt,0.3063,136.75,0.03925,0.269,0.199,-0.295,-0.446,-0.52,-0.482,-0.486,-0.629,0.03,11.64491092,24.71337035,66.18089195,0.1953,0.6423,0.4229,0.7226,0.8659,0.000930853,0.078776191,ptb,hw3
